Kp,Ki,Kd,fitness
0.29,0.03,0.14,473.0
0.98,0.02,0.17,443.0
0.72,0.06,0.24,443.0
0.56,0.05,0.35,481.0
0.93,0.01,0.43,469.0
0.45,0.01,0.4,374.0
0.45,0.02,0.21,461.0
0.28,0.05,0.25,494.0
0.63,0.05,0.17,475.0
0.82,0.02,0.02,466.0
0.46,0.06,0.4,451.0
0.9,0.02,0.32,454.0
0.82,0.03,0.14,437.0
0.9,0.02,0.4,458.0
0.56,0.05,0.14,465.0
0.82,0.02,0.35,478.0
0.9,0.02,0.32,437.0
0.63,0.05,0.24,430.0
0.82,0.03,0.14,449.0
0.46,0.06,0.43,455.0
0.29,0.03,0.14,497.0
0.62,0.05,0.35,474.0
0.29,0.03,0.24,486.0
0.72,0.06,0.24,455.0
0.56,0.05,0.43,473.0
0.82,0.02,0.35,479.0
0.9,0.02,0.32,422.0
0.63,0.05,0.35,442.0
0.72,0.06,0.14,492.0
0.56,0.03,0.14,473.0
0.29,0.03,0.24,497.0
0.29,0.03,0.4,476.0
0.82,0.03,0.24,449.0
0.29,0.03,0.14,475.0
0.56,0.05,0.24,467.0
0.82,0.03,0.34,477.0
0.56,0.03,0.14,476.0
0.72,0.05,0.43,446.0
0.82,0.05,0.24,465.0
0.56,0.05,0.24,443.0
0.29,0.03,0.14,499.0
0.82,0.03,0.14,450.0
0.72,0.06,0.24,471.0
0.63,0.03,0.14,459.0
0.56,0.05,0.35,430.0
0.82,0.03,0.24,450.0
0.63,0.03,0.34,465.0
0.56,0.05,0.43,439.0
0.72,0.06,0.24,460.0
0.56,0.05,0.14,480.0
0.22,0.03,0.14,484.0
0.56,0.03,0.24,446.0
0.56,0.03,0.24,468.0
0.82,0.03,0.14,445.0
0.82,0.03,0.24,441.0
0.63,0.05,0.35,440.0
0.82,0.05,0.43,480.0
0.82,0.03,0.24,474.0
0.56,0.05,0.24,436.0
0.56,0.05,0.35,429.0
