Kp,Ki,Kd,fitness
0.08,0.03,0.42,449.0
0.46,0.05,0.34,456.0
0.49,0.03,0.49,466.0
0.73,0.02,0.09,429.0
0.74,0.07,0.25,477.0
0.47,0.04,0.22,463.0
0.6,0.02,0.37,479.0
0.3,0.02,0.49,506.0
0.36,0.01,0.48,394.0
0.54,0.09,0.19,447.0
0.07,0.06,0.46,501.0
0.79,0.02,0.17,506.0
0.74,0.07,0.19,437.0
0.74,0.07,0.37,469.0
0.73,0.02,0.19,468.0
0.79,0.02,0.22,414.0
0.54,0.05,0.34,455.0
0.36,0.01,0.25,356.0
0.49,0.09,0.19,437.0
0.54,0.09,0.48,470.0
0.08,0.03,0.09,496.0
0.47,0.04,0.27,476.0
0.79,0.02,0.25,446.0
0.08,0.05,0.34,482.0
0.54,0.05,0.27,465.0
0.74,0.02,0.22,445.0
0.08,0.05,0.34,485.0
0.36,0.01,0.37,370.0
0.54,0.09,0.27,453.0
0.74,0.07,0.48,489.0
0.49,0.02,0.19,486.0
0.08,0.02,0.19,493.0
0.79,0.01,0.25,463.0
0.49,0.09,0.19,456.0
0.49,0.01,0.25,508.0
0.08,0.02,0.22,452.0
0.79,0.01,0.25,423.0
0.49,0.01,0.37,352.0
0.08,0.05,0.27,445.0
0.74,0.09,0.27,457.0
0.36,0.05,0.34,477.0
0.49,0.01,0.25,397.0
0.49,0.01,0.25,306.0
0.08,0.02,0.19,477.0
0.08,0.05,0.27,459.0
0.79,0.02,0.19,429.0
0.08,0.05,0.22,498.0
0.08,0.02,0.22,496.0
0.49,0.01,0.25,411.0
0.08,0.01,0.25,376.0
0.36,0.02,0.19,470.0
0.08,0.02,0.22,501.0
0.49,0.01,0.25,356.0
0.79,0.01,0.37,404.0
0.08,0.09,0.27,443.0
0.08,0.01,0.25,472.0
0.08,0.05,0.19,433.0
0.08,0.02,0.25,480.0
0.79,0.01,0.22,448.0
0.36,0.01,0.25,353.0
