Kp,Ki,Kd,fitness
0.21,0.001,0.06,212.0
0.19,0.01,0.06,233.0
0.6,0.001,0.06,322.0
0.37,0.001,0.06,265.0
0.6,0.001,0.06,368.0
0.6,0.001,0.06,374.0
0.6,0.01,0.06,363.0
0.37,0.01,0.06,291.0
0.37,0.001,0.06,209.0
0.21,0.001,0.06,207.0
0.21,0.01,0.06,276.0
0.2,0.0,0.06,255.0
0.21,0.001,0.06,245.0
0.21,0.001,0.06,162.0
0.21,0.001,0.06,185.0
0.2,0.0,0.06,370.0
0.2,0.0,0.06,376.0
0.2,0.0,0.06,359.0
0.6,0.001,0.06,355.0
0.37,0.001,0.06,272.0
0.2,0.001,0.06,270.0
0.21,0.01,0.06,274.0
0.21,0.001,0.06,295.0
0.21,0.001,0.06,120.0
0.21,0.001,0.06,191.0
0.37,0.001,0.06,249.0
0.37,0.01,0.06,298.0
0.2,0.0,0.06,307.0
0.6,0.001,0.06,363.0
0.2,0.01,0.06,291.0
0.2,0.001,0.06,243.0
0.2,0.001,0.06,153.0
0.2,0.001,0.06,252.0
0.37,0.001,0.06,141.0
0.2,0.001,0.06,166.0
0.21,0.01,0.06,318.0
0.21,0.001,0.06,307.0
0.37,0.0,0.06,225.0
0.2,0.001,0.06,203.0
0.37,0.01,0.06,363.0
0.21,0.001,0.06,219.0
0.2,0.001,0.06,132.0
