Kp,Ki,Kd,fitness
0.2,0.00,0.04,241.0
0.59,0.01,0.18,350.0
0.6,0.01,0.04,357.0
0.04,0.01,0.02,330.0
0.71,0.007,0.05,369.0
0.16,0.002,0.1,322.0
0.32,0.001,0.05,256.0
0.37,0.016,0.13,342.0
0.14,0.016,0.07,329.0
0.21,0.001,0.06,173.0
0.78,0.002,0.03,381.0
0.6,0.001,0.11,377.0
0.05,0.009,0.24,261.0
0.75,0.005,0.04,368.0
0.19,0.016,0.11,348.0
0.21,0.001,0.06,291.0
0.75,0.001,0.11,396.0
0.05,0.009,0.24,291.0
0.37,0.01,0.18,375.0
0.32,0.001,0.11,296.0
0.2,0.0,0.06,195.0
0.19,0.01,0.18,282.0
0.6,0.01,0.18,354.0
0.75,0.001,0.06,401.0
0.04,0.001,0.07,322.0
0.6,0.016,0.11,329.0
0.37,0.001,0.02,285.0
0.19,0.016,0.24,334.0
0.2,0.0,0.06,412.0
0.21,0.01,0.06,303.0
0.37,0.01,0.06,95.0
0.37,0.0,0.06,235.0
0.37,0.01,0.11,371.0
0.19,0.01,0.18,285.0
0.19,0.009,0.24,278.0
0.21,0.01,0.06,349.0
0.04,0.001,0.18,290.0
0.75,0.001,0.18,351.0
0.19,0.01,0.02,249.0
0.6,0.001,0.11,375.0
0.2,0.009,0.24,214.0
0.37,0.001,0.06,244.0
0.37,0.001,0.06,222.0
0.21,0.001,0.06,188.0
0.19,0.01,0.06,292.0
0.2,0.0,0.02,349.0
0.37,0.01,0.18,350.0
0.75,0.001,0.06,311.0
0.19,0.009,0.24,259.0
0.19,0.01,0.06,299.0
0.37,0.001,0.06,275.0
0.6,0.001,0.06,335.0
0.37,0.00,0.06,252.0
0.21,0.001,0.06,200.0
0.21,0.001,0.06,180.0
0.19,0.01,0.06,246.0
0.2,0.0,0.02,497.0
0.21,0.001,0.06,366.0
0.37,0.0,0.06,237.0
0.21,0.001,0.06,248.0
0.6,0.001,0.06,347.0
0.37,0.001,0.06,264.0
0.19,0.01,0.06,275.0
0.6,0.001,0.06,386.0
0.37,0.009,0.24,293.0
0.37,0.001,0.06,249.0
0.2,0.0,0.06,250.0
0.21,0.001,0.06,190.0
0.21,0.001,0.06,197.0
0.19,0.01,0.06,280.0
0.6,0.001,0.06,338.0
0.37,0.001,0.06,223.0
0.6,0.001,0.06,313.0
0.6,0.001,0.06,371.0
0.6,0.01,0.06,364.0
0.37,0.01,0.06,372.0
0.37,0.001,0.06,335.0
0.21,0.001,0.06,232.0
0.21,0.01,0.06,258.0
0.2,0.0,0.06,379.0
