Kp,Ki,Kd,fitness
0.6,0.01,0.04,358.0
0.2,0.0,0.07,397.0
0.1,0.0,0.22,407.0
0.63,0.02,0.23,450.0
0.6,0.0,0.2,579.0
0.09,0.01,0.04,452.0
0.54,0.04,0.08,446.0
0.49,0.03,0.07,466.0
0.6,0.08,0.07,504.0
0.25,0.02,0.23,492.0
0.61,0.03,0.21,460.0
0.13,0.02,0.16,495.0
0.29,0.05,0.2,439.0
0.35,0.01,0.14,391.0
0.59,0.01,0.18,345.0
0.2,0.02,0.23,438.0
0.61,0.0,0.07,641.0
0.6,0.0,0.07,650.0
0.25,0.04,0.08,498.0
0.13,0.01,0.04,481.0
0.2,0.0,0.04,173.0
0.2,0.02,0.16,430.0
0.35,0.02,0.23,457.0
0.54,0.01,0.18,380.0
0.09,0.01,0.04,431.0
0.6,0.01,0.04,410.0
0.1,0.0,0.04,487.0
0.29,0.01,0.04,394.0
0.1,0.02,0.23,452.0
0.1,0.05,0.2,427.0
